Brand Name,SPOC LinkedIn URL 1,SPOC LinkedIn URL 2,B2B Mobile Source 1,B2B Mobile Source 2
Flo,,,,
HealthSense,,,,
Hero Eco Med,,,https://www.merriam-webster.com/dictionary/hero,https://en.wikipedia.org/wiki/Hero
JSB Healthcare,,,,
KareIn,,,https://www.instagram.com/reel/DV8Rg5EgGYK/,https://www.facebook.com/meemzonofficial/
Karma Healthcare,,,,
Kurlon (Ortho),,,,
Strappal / Leukotape,,,,
Tynor Orthotics,,,,
Vissco,,,,
Volini (Sun Pharma),,,https://dir.indiamart.com/impcat/volini-spray/pack-size-100-gm-q16075892/,https://www.shantilalbrothers.com/
Zandu (Emami),,,,
Garmin,,,,
Withings,,,,
Coros,,,https://www.facebook.com/groups/246233056317171/posts/1263239551283178/,https://www.scribd.com/document/810732706/2025-batch-Salesforce-Smart-Internz-batch-2-status
Suunto,,,,
Qardio,,,,
AliveCor,,,,
Eko Health,,,,
TytoCare,,,https://www.scribd.com/document/517922570/Export-List,https://www.fortunebusinessinsights.com/jp/遠隔医療および遠隔医療市場における-ai-115853
Dexcom,,,,
Medtronic,,,,
iHealth Labs,,,,
Biobeat,,,,
Waterpik,,,https://pbsfundingcredits.fandom.com/wiki/Funding_Credits_Cheat_Sheet,https://www.davesgoneby.com/
Philips Sonicare,,,,
Foreo,,,,
Quip,,,,
Four Sigmatic,,,https://www.wholefoodsmarket.com/alm/storefront?almBrandId=VUZHIFdob2xlIEZvb2Rz,https://sg.iherb.com/deals?p=3
Mud\Wtr,,,,
Bulletproof,,,,
Athletic Greens (AG1),,,,
Circular Smart Ring,,,,
RingConn,,,https://www.google.com/maps/dir,https://www.ubuy.co.in/brand/ringconn
KardiaMobile,,,https://kardia.com/kardiamobile,https://www.amazon.com/kardiamobile-ekg-monitor/s?k=kardiamobile+ekg+monitor
Dr. Morepen,,,,
Diamond BP,,,https://dir.indiamart.com/impcat/diamond-blood-pressure-machine.html,https://www.indiamart.com/proddetail/diamond-bp-apparatus-lcd-deluxe-bpdg-134-2859077530230.html
Rossmax,,,,
Equinox,,,,
OxyMed,,,https://maps.google.ca/mapfiles/home3.html,https://maps.google.ca/mapfiles/ads/pp_ads.html
Nisco,,,,
Everteen,,,,
Sirona,,,,
Drive DeVilbiss,,,,
Nova Medical,,,,
Medline,,,,
Karman Healthcare,,,https://www.marketsandresearch.biz/report/349833/global-bariatric-specialized-wheelchairs-market-2023-by-manufacturers-regions-type-and-application-forecast-to-2029,
EZ Lite Cruiser,,,,
Hoveround,,,,
Rollz,,,,
byACRE,,,,
Ossur,,,,
DonJoy,,,https://snapengage.djoglobal.com/login/user,https://snapengage.djoglobal.com/knowledgeBase
Breg,,,,
Bauerfeind,,,,
Thuasne,,,,
Incrediwear,,,,
Superfeet,,,,
Spenco,,,,
Powerstep,,,https://m.indiamart.com/impcat/torque-motor.html?biz=30,https://steampeek.hu/?appid=1941540
Currex,,,,
Vionic,,,,
Dansko,,,,
OOFOS,,,,
HOKA (Recovery),,,https://www.hoka.com/?msockid=02ccb3b70c2e6b5108b1a4ff0d3f6a76,https://www.hoka.com/en/us/mens-view-all/?msockid=02ccb3b70c2e6b5108b1a4ff0d3f6a76
Kane Footwear,,,,
AlignMed,,,,
Forme,,,,
Stander,,,,
Carex,,,,
Vive Health,,,,
Mueller Sports Medicine,,,,
McDavid,,,,
Shock Doctor,,,,
Zamst,,,,
Copper Fit,,,,
Tommie Copper,,,,
Dyna,,,,
PowerDot,,,,
Marc Pro,,,,
RumbleRoller,,,,
TriggerPoint,,,,
RAD Roller,,,https://www.exportersindia.com/indian-suppliers/road-rollers.htm,https://m.indiamart.com/impcat/case-road-roller.html
Roll Recovery,,,https://www.roll-descartes.fr/,https://www.roll-descartes.fr/elementaire
Tiger Tail,,,,
Liquid I.V.,,,,
LMNT,,,,
Nuun,,,https://nuunlife.com/,https://nuunlife.com/pages/products
Skratch Labs,,,,
Maurten,,,,
DripDrop,,,,
Kaged Muscle,,,,
Onnit,,,,
BiOptimizers,,,https://bioptimizers.com/,https://bioptimizers.com/magnesium-breakthrough/
DJO Global,,,,
Zimmer MedizinSystems,,,,
Game Ready,,,https://www.instagram.com/opticiansindia/reel/DVB_xT7DaPm/,https://in.linkedin.com/company/yoodepromotions
IceGator,,,,
BrainTap,,,,
Core (by Hyperice),,,,
iReliev,,,,
Biofreeze,,,,
Tiger Balm,,,,
Salonpas,,,https://www.youtube.com/channel/UCcsnlOgV3dWH6Y92LYGTlow,https://www.scribd.com/document/948816507/Stock-Opname-mutiara-23-Oct-recounting
Penetrex,,,,
Voltaren,,,,
Boiron (Arnica),,,,
Moov (Reckitt),,,,
Iodex (GSK),,,,
Omnigel (Cipla),,,https://www.indiamart.com/proddetail/omnigel-ointment-2856898088688.html,https://www.volza.com/hs-codes/search/diclofenac-gel/india/
Kool Pak,,,,
Tempur-Pedic,,,https://www.tempurpedic.com/,https://www.tempur.com/
Sleep Number,,,,
Casper,,,,
Purple,,,https://nsearchives.nseindia.com/corporate/Registration_22092025202833_PurpleStyleLabsLimitedDRHP.pdf,https://www.purplle.com/explore
Saatva,,,,
Avocado Green,,,,
Helix Sleep,,,,
Hatch,,,,
Loftie,,,,
QuietOn,,,,
Kokoon,,,,
Lumie,,,https://www.lumie.com/en-us,https://www.amazon.com/stores/Lumie/page/9B23AFF9-5749-4A01-81D7-04E1BF93EDE1
Swanwick,,,https://www.facebook.com/groups/1263835198159774/posts/1299466277929999/,https://www.alamy.com/stock-photo/w-5-39-43.html
Felix Gray,,,,
Gunnar,,,,
Manta Sleep,,,,
Nodpod,,,,
Bedgear,,,,
PureCare,,,https://www.weaverandcompany.com/find-a-distributor/asia/,https://papermines.com/
Sunday Rest,,,,
Livpure Sleep,,,,
Yogasleep (Marpac),,,https://yogasimplified.com/newsite/contact-us,https://www.etsy.com/nz/listing/1694410920/?msockid=365dc147d00d6ee93ed5d60fd1e06f44
Sound+Sleep,,,,
Tuft & Needle,,,,
Nectar,,,,
Leesa,,,,
Sleepycat,,,,
SleepX (Sheela Foam),,,,
Vicks (ZzzQuil),,,,
Himalaya Wellness (Sleep),,,,
